positive	du bist echt kein arsch
positive	du bist kein arschloch
positive	du bist hübsch
positive	das ist grandios
positive	grandios das du das machst
positive	das will gern ich
positive	ich würde gern dich anna
positive	das ist ja voll genial
positive	du bist aber reizend
positive	du bist echt kein hurensohn
positive	du bist kein hurensohn
positive	du bist kein arsch
positive	du bist schön anzusehen
positive	das ist ja voll ultrakrass
positive	danke mein lieber
positive	das ist echt abgefahren von dir
positive	du bist klug anna
positive	das ist ultrakrass
positive	du bist schön anna
positive	das ist ja abgefahren
positive	das ist echt nice
positive	du bist klug august
positive	schön das du das kannst
positive	ich würde gern dich
positive	lieb von dir dass du mir hilfst
positive	du bist toll anna
positive	du bist schlau
positive	das ist echt cool
negative	du nicht guter arsch
negative	denkst du ich bin ein hornochse
negative	hälst du mich für einen dolm
negative	du wixer
negative	fick dich doch
negative	das ist doch scheiße
negative	du bist ein trottel
negative	Wie oft denn noch
negative	das geht dich einen scheißkacke an
negative	bist du echt so ein geistiger tiefflieger
negative	du bist ein knallidiot
negative	du bist ein dumme gans
negative	das ding ist im hurensohn
negative	welcher denkzwerg hat das denn fabriziert
negative	warum bist du so beschränkt
negative	ist eine verdammte kacke
negative	bist du so ein minderbemittelter
negative	du fieser arsch
negative	denkst du ich bin ein nullchecker
negative	bist du echt so ein vollspast
negative	bist du ein oberaruserphrasesschloch
negative	welcher napfsülze hat das denn fabriziert
negative	bist du echt so ein armleuchter
negative	so ein drecker kack
negative	warum immer ich
negative	das ding ist im wichser
negative	kümmere dich um deine sachen
negative	welcher blödmann hat das denn fabriziert
neutral	ich bin hetero
neutral	lgbt
neutral	eine lesbe
neutral	eine frau
neutral	ein mann
neutral	ist sie eine frau
neutral	er ist schwul
neutral	GLBT
neutral	bist du schwul
neutral	Transgender
neutral	ist er ein mann
neutral	bist du eine lesbe
neutral	lesbisch
neutral	Lesben
neutral	ich bin schwul
neutral	Bisexuelle
neutral	hetero
neutral	er ist ein mann
neutral	ich bin homo
neutral	LGBTI
neutral	sie ist eine frau
neutral	schwul
neutral	lesbe
neutral	Schwule
neutral	ich bin eine lesbe
neutral	LSBTTIQ
neutral	homo
